decision_id,symbol,side,score,confidence_label,actionability,return_after_24h_pct,target_1_hit,evaluated_return,win
702a2661c615280a,BTC/USDT,LONG,53,Low,NOT_ACTIONABLE,1.8346,True,1.8346,True
ac668c96ba4b2b88,BTC/USDT,LONG,53,Low,NOT_ACTIONABLE,1.8271,True,1.8271,True
a5f792f402c2fd44,BTC/USDT,LONG,59,Medium,WATCHLIST,1.7696,True,1.7696,True
05368408c005ba69,BTC/USDT,LONG,63,Medium,WATCHLIST,1.7091,True,1.7091,True
9a8d6b487076b925,BTC/USDT,LONG,63,Medium,WATCHLIST,1.7343,True,1.7343,True
a052b02bff194c72,BTC/USDT,LONG,56,Medium,WATCHLIST,0.5531,True,0.5531,True
e7cd9d36c4255be5,BTC/USDT,LONG,65,Medium,WATCHLIST,0.562,True,0.562,True
bbfd193a5c358ccd,BTC/USDT,LONG,70,Medium-High,ACTIONABLE,0.4897,True,0.4897,True
3106fe3470593c27,BTC/USDT,LONG,68,Medium,WATCHLIST,0.7856,True,0.7856,True
42234f23363549ef,BTC/USDT,LONG,68,Medium,WATCHLIST,0.8566,True,0.8566,True
095125c6703b6951,BTC/USDT,LONG,67,Medium,WATCHLIST,0.9276,True,0.9276,True
d600b9f69b94fdcf,BTC/USDT,LONG,70,Medium-High,WATCHLIST,0.8199,True,0.8199,True
e5c059c211567cb8,BTC/USDT,LONG,72,Medium-High,WATCHLIST,0.6401,True,0.6401,True
f0861049dedc87c0,BTC/USDT,LONG,70,Medium-High,WATCHLIST,0.7874,True,0.7874,True
9d21614f8912910a,BTC/USDT,LONG,70,Medium-High,WATCHLIST,0.8457,True,0.8457,True
bcefb4f171266e47,BTC/USDT,LONG,70,Medium-High,WATCHLIST,0.8086,True,0.8086,True
e074ad19ac1a06f5,BTC/USDT,LONG,70,Medium-High,WATCHLIST,0.8479,True,0.8479,True
8aa3c99d5068e0a1,BTC/USDT,LONG,57,Medium,WATCHLIST,0.5115,True,0.5115,True
3282652cb631d863,BTC/USDT,LONG,57,Medium,WATCHLIST,0.4913,True,0.4913,True
bfa73053330f4640,BTC/USDT,LONG,73,Medium-High,WATCHLIST,0.3193,True,0.3193,True
4ec6a78928f39356,BTC/USDT,LONG,67,Medium,WATCHLIST,0.151,True,0.151,True
d3963955fcdedca9,BTC/USDT,LONG,63,Medium,WATCHLIST,-0.6451,True,-0.6451,False
9d6fb5dfbac52331,BTC/USDT,LONG,59,Medium,WATCHLIST,-0.6123,True,-0.6123,False
3ed3beb8a0142741,BTC/USDT,NEUTRAL,33,Low,MONITOR_ONLY,-0.3848,False,-0.3848,False
d20cf69165d7b25f,BTC/USDT,NEUTRAL,16,Low,MONITOR_ONLY,-0.0705,False,-0.0705,False
b2ff192282909211,BTC/USDT,NEUTRAL,31,Low,MONITOR_ONLY,1.3364,False,1.3364,True
120e189be1e70388,BTC/USDT,NEUTRAL,36,Low,MONITOR_ONLY,1.1497,False,1.1497,True
6343d5fda70f7ead,BTC/USDT,NEUTRAL,31,Low,MONITOR_ONLY,1.2844,False,1.2844,True
e4b687ee00cfdd03,BTC/USDT,NEUTRAL,36,Low,MONITOR_ONLY,1.1362,False,1.1362,True
af0089d5a911079a,BTC/USDT,NEUTRAL,31,Low,MONITOR_ONLY,1.3092,False,1.3092,True
90ceec3959a268ff,BTC/USDT,NEUTRAL,18,Low,MONITOR_ONLY,1.75,False,1.75,True
0678ab66434e5aeb,BTC/USDT,NEUTRAL,18,Low,MONITOR_ONLY,1.7776,False,1.7776,True
