component_left,component_right,legacy_spearman,recent_spearman,absolute_recent_correlation,correlation_delta,recent_redundancy_flag
structure_score,adaptive_adjustment,0.6114037135727733,0.5595287115383827,0.5595287115383827,-0.05187500203439066,False
volume_score,adaptive_adjustment,0.4866301859034932,0.4859585295023682,0.4859585295023682,-0.0006716564011250425,False
structure_score,risk_penalty,-0.48620093824911803,-0.4614582468559112,0.4614582468559112,0.02474269139320684,False
risk_penalty,adaptive_adjustment,-0.4709956071017998,-0.4138900466374526,0.4138900466374526,0.05710556046434717,False
regime_score,adaptive_adjustment,0.3475573989706711,0.35654325636943773,0.35654325636943773,0.008985857398766617,False
momentum_score,regime_score,-0.3400414077999512,-0.3349022793995044,0.3349022793995044,0.00513912840044678,False
momentum_score,risk_penalty,0.2636088164779363,0.3323258428545334,0.3323258428545334,0.0687170263765971,False
trend_score,regime_score,0.3640522603188726,0.31990170028662623,0.31990170028662623,-0.04415056003224638,False
trend_score,momentum_score,-0.27952203117241875,-0.27882716946149777,0.27882716946149777,0.0006948617109209798,False
volume_score,risk_penalty,-0.3232111726243388,-0.26286917051895986,0.26286917051895986,0.060342002105378933,False
volume_score,regime_score,-0.21465582732617816,-0.22385161670457362,0.22385161670457362,-0.009195789378395464,False
trend_score,risk_penalty,-0.21551478897675713,-0.20392694551855176,0.20392694551855176,0.011587843458205377,False
volume_score,structure_score,0.23514466248343555,0.18043146223945597,0.18043146223945597,-0.054713200243979576,False
momentum_score,volume_score,0.09581849921744043,0.1596338676683915,0.1596338676683915,0.06381536845095107,False
regime_score,risk_penalty,-0.15318070359729596,-0.1523568452333372,0.1523568452333372,0.0008238583639587627,False
trend_score,volume_score,-0.0823932921609672,-0.12020765092641632,0.12020765092641632,-0.03781435876544911,False
structure_score,regime_score,0.048506848224875686,0.05821308862869193,0.05821308862869193,0.009706240403816242,False
trend_score,adaptive_adjustment,0.08307462381116662,0.05370117584333127,0.05370117584333127,-0.02937344796783535,False
trend_score,structure_score,-0.026002031288020058,-0.04953123733217919,0.04953123733217919,-0.023529206044159135,False
momentum_score,structure_score,-0.04037450453397733,-0.04445034631247956,0.04445034631247956,-0.004075841778502225,False
momentum_score,adaptive_adjustment,-0.00042115281040960883,0.03537464713678189,0.03537464713678189,0.035795799947191495,False
